MatchNumber,DateUTC,Stage,StageDetail,Group,Home,Away,HostAdvantage,HomeTeamScore,AwayTeamScore,Played,PlaceHolderA,PlaceHolderB,Winner
1,2026-06-11T19:00:00Z,Group,First Stage,Group A,Mexico,South Africa,1,2.0,0.0,True,A1,A2,43911
2,2026-06-12T02:00:00Z,Group,First Stage,Group A,South Korea,Czechia,0,2.0,1.0,True,A3,A4,43822
3,2026-06-12T19:00:00Z,Group,First Stage,Group B,Canada,Bosnia and Herzegovina,1,1.0,1.0,True,B1,B2,
4,2026-06-13T01:00:00Z,Group,First Stage,Group D,USA,Paraguay,1,4.0,1.0,True,D1,D2,43921
5,2026-06-14T01:00:00Z,Group,First Stage,Group C,Haiti,Scotland,0,0.0,1.0,True,C3,C4,43967
6,2026-06-14T04:00:00Z,Group,First Stage,Group D,Australia,Turkey,0,2.0,0.0,True,D3,D4,43976
7,2026-06-13T22:00:00Z,Group,First Stage,Group C,Brazil,Morocco,0,1.0,1.0,True,C1,C2,
8,2026-06-13T19:00:00Z,Group,First Stage,Group B,Qatar,Switzerland,0,1.0,1.0,True,B3,B4,
9,2026-06-14T23:00:00Z,Group,First Stage,Group E,Ivory Coast,Ecuador,0,1.0,0.0,True,E3,E4,43854
10,2026-06-14T17:00:00Z,Group,First Stage,Group E,Germany,Curaçao,0,7.0,1.0,True,E1,E2,43948
11,2026-06-14T20:00:00Z,Group,First Stage,Group F,Netherlands,Japan,0,2.0,2.0,True,F1,F2,
12,2026-06-15T02:00:00Z,Group,First Stage,Group F,Sweden,Tunisia,0,5.0,1.0,True,F3,F4,43970
13,2026-06-15T22:00:00Z,Group,First Stage,Group H,Saudi Arabia,Uruguay,0,1.0,1.0,True,H3,H4,
14,2026-06-15T16:00:00Z,Group,First Stage,Group H,Spain,Cape Verde,0,0.0,0.0,True,H1,H2,
15,2026-06-16T01:00:00Z,Group,First Stage,Group G,Iran,New Zealand,0,2.0,2.0,True,G3,G4,
16,2026-06-15T19:00:00Z,Group,First Stage,Group G,Belgium,Egypt,0,1.0,1.0,True,G1,G2,
17,2026-06-16T19:00:00Z,Group,First Stage,Group I,France,Senegal,0,3.0,1.0,True,I1,I2,43946
18,2026-06-16T22:00:00Z,Group,First Stage,Group I,Iraq,Norway,0,1.0,4.0,True,I3,I4,43961
19,2026-06-17T01:00:00Z,Group,First Stage,Group J,Argentina,Algeria,0,3.0,0.0,True,J1,J2,43922
20,2026-06-17T04:00:00Z,Group,First Stage,Group J,Austria,Jordan,0,3.0,1.0,True,J3,J4,43934
21,2026-06-17T23:00:00Z,Group,First Stage,Group L,Ghana,Panama,0,1.0,0.0,True,L3,L4,43860
22,2026-06-17T20:00:00Z,Group,First Stage,Group L,England,Croatia,0,4.0,2.0,True,L1,L2,43942
23,2026-06-17T17:00:00Z,Group,First Stage,Group K,Portugal,DR Congo,0,1.0,1.0,True,K1,K2,
24,2026-06-18T02:00:00Z,Group,First Stage,Group K,Uzbekistan,Colombia,0,1.0,3.0,True,K3,K4,43926
25,2026-06-18T16:00:00Z,Group,First Stage,Group A,Czechia,South Africa,0,1.0,1.0,True,A4,A2,
26,2026-06-18T19:00:00Z,Group,First Stage,Group B,Switzerland,Bosnia and Herzegovina,0,4.0,1.0,True,B4,B2,43971
27,2026-06-18T22:00:00Z,Group,First Stage,Group B,Canada,Qatar,1,6.0,0.0,True,B1,B3,43899
28,2026-06-19T01:00:00Z,Group,First Stage,Group A,Mexico,South Korea,1,1.0,0.0,True,A1,A3,43911
29,2026-06-20T00:30:00Z,Group,First Stage,Group C,Brazil,Haiti,0,3.0,0.0,True,C1,C3,43924
30,2026-06-19T22:00:00Z,Group,First Stage,Group C,Scotland,Morocco,0,0.0,1.0,True,C4,C2,43872
31,2026-06-20T03:00:00Z,Group,First Stage,Group D,Turkey,Paraguay,0,0.0,1.0,True,D4,D2,43928
32,2026-06-19T19:00:00Z,Group,First Stage,Group D,USA,Australia,1,2.0,0.0,True,D1,D3,43921
33,2026-06-20T20:00:00Z,Group,First Stage,Group E,Germany,Ivory Coast,0,2.0,1.0,True,E1,E3,43948
34,2026-06-21T00:00:00Z,Group,First Stage,Group E,Ecuador,Curaçao,0,0.0,0.0,True,E4,E2,
35,2026-06-20T17:00:00Z,Group,First Stage,Group F,Netherlands,Sweden,0,5.0,1.0,True,F1,F3,43960
36,2026-06-21T04:00:00Z,Group,First Stage,Group F,Tunisia,Japan,0,0.0,4.0,True,F4,F2,43819
37,2026-06-21T22:00:00Z,Group,First Stage,Group H,Uruguay,Cape Verde,0,2.0,2.0,True,H4,H2,
38,2026-06-21T16:00:00Z,Group,First Stage,Group H,Spain,Saudi Arabia,0,4.0,0.0,True,H1,H3,43969
39,2026-06-21T19:00:00Z,Group,First Stage,Group G,Belgium,Iran,0,0.0,0.0,True,G1,G3,
40,2026-06-22T01:00:00Z,Group,First Stage,Group G,New Zealand,Egypt,0,1.0,3.0,True,G4,G2,43855
41,2026-06-23T00:00:00Z,Group,First Stage,Group I,Norway,Senegal,0,3.0,2.0,True,I4,I2,43961
42,2026-06-22T21:00:00Z,Group,First Stage,Group I,France,Iraq,0,3.0,0.0,True,I1,I3,43946
43,2026-06-22T17:00:00Z,Group,First Stage,Group J,Argentina,Austria,0,2.0,0.0,True,J1,J3,43922
44,2026-06-23T03:00:00Z,Group,First Stage,Group J,Jordan,Algeria,0,1.0,2.0,True,J4,J2,43843
45,2026-06-23T20:00:00Z,Group,First Stage,Group L,England,Ghana,0,0.0,0.0,True,L1,L3,
46,2026-06-23T23:00:00Z,Group,First Stage,Group L,Panama,Croatia,0,0.0,1.0,True,L4,L2,43938
