MatchNumber,DateUTC,DateChina,Group,GroupRound,Home,Away,Stage,HostAdvantage,Stadium,City
1,2026-06-11T19:00:00Z,2026-06-12 03:00,Group A,1,Mexico,South Africa,Group,1,Mexico City Stadium,Mexico City
2,2026-06-12T02:00:00Z,2026-06-12 10:00,Group A,1,South Korea,Czechia,Group,0,Guadalajara Stadium,Guadalajara
3,2026-06-12T19:00:00Z,2026-06-13 03:00,Group B,1,Canada,Bosnia and Herzegovina,Group,1,Toronto Stadium,Toronto
4,2026-06-13T01:00:00Z,2026-06-13 09:00,Group D,1,USA,Paraguay,Group,1,Los Angeles Stadium,Los Angeles
5,2026-06-14T01:00:00Z,2026-06-14 09:00,Group C,1,Haiti,Scotland,Group,0,Boston Stadium,Boston
6,2026-06-14T04:00:00Z,2026-06-14 12:00,Group D,1,Australia,Turkey,Group,0,BC Place Vancouver,Vancouver
7,2026-06-13T22:00:00Z,2026-06-14 06:00,Group C,1,Brazil,Morocco,Group,0,New York/New Jersey Stadium,New Jersey
8,2026-06-13T19:00:00Z,2026-06-14 03:00,Group B,1,Qatar,Switzerland,Group,0,San Francisco Bay Area Stadium,San Francisco Bay Area
9,2026-06-14T23:00:00Z,2026-06-15 07:00,Group E,1,Ivory Coast,Ecuador,Group,0,Philadelphia Stadium,Philadelphia
10,2026-06-14T17:00:00Z,2026-06-15 01:00,Group E,1,Germany,Curaçao,Group,0,Houston Stadium,Houston
11,2026-06-14T20:00:00Z,2026-06-15 04:00,Group F,1,Netherlands,Japan,Group,0,Dallas Stadium,Dallas
12,2026-06-15T02:00:00Z,2026-06-15 10:00,Group F,1,Sweden,Tunisia,Group,0,Monterrey Stadium,Monterrey
13,2026-06-15T22:00:00Z,2026-06-16 06:00,Group H,1,Saudi Arabia,Uruguay,Group,0,Miami Stadium,Miami
14,2026-06-15T16:00:00Z,2026-06-16 00:00,Group H,1,Spain,Cape Verde,Group,0,Atlanta Stadium,Atlanta
15,2026-06-16T01:00:00Z,2026-06-16 09:00,Group G,1,Iran,New Zealand,Group,0,Los Angeles Stadium,Los Angeles
16,2026-06-15T19:00:00Z,2026-06-16 03:00,Group G,1,Belgium,Egypt,Group,0,Seattle Stadium,Seattle
17,2026-06-16T19:00:00Z,2026-06-17 03:00,Group I,1,France,Senegal,Group,0,New York/New Jersey Stadium,New Jersey
18,2026-06-16T22:00:00Z,2026-06-17 06:00,Group I,1,Iraq,Norway,Group,0,Boston Stadium,Boston
19,2026-06-17T01:00:00Z,2026-06-17 09:00,Group J,1,Argentina,Algeria,Group,0,Kansas City Stadium,Kansas City
20,2026-06-17T04:00:00Z,2026-06-17 12:00,Group J,1,Austria,Jordan,Group,0,San Francisco Bay Area Stadium,San Francisco Bay Area
21,2026-06-17T23:00:00Z,2026-06-18 07:00,Group L,1,Ghana,Panama,Group,0,Toronto Stadium,Toronto
22,2026-06-17T20:00:00Z,2026-06-18 04:00,Group L,1,England,Croatia,Group,0,Dallas Stadium,Dallas
