MatchNumber,DateUTC,Home,Away,Stage,HostAdvantage
73,2026-06-28T19:00:00Z,South Africa,Canada,Round32,-1
76,2026-06-29T17:00:00Z,Brazil,Japan,Round32,0
74,2026-06-29T20:30:00Z,Germany,Paraguay,Round32,0
75,2026-06-30T01:00:00Z,Netherlands,Morocco,Round32,0
78,2026-06-30T17:00:00Z,Ivory Coast,Norway,Round32,0
77,2026-06-30T21:00:00Z,France,Sweden,Round32,0
79,2026-07-01T02:00:00Z,Mexico,Ecuador,Round32,1
80,2026-07-01T16:00:00Z,England,DR Congo,Round32,0
82,2026-07-01T20:00:00Z,Belgium,Senegal,Round32,0
81,2026-07-02T00:00:00Z,USA,Bosnia and Herzegovina,Round32,1
84,2026-07-02T19:00:00Z,Spain,Austria,Round32,0
83,2026-07-02T23:00:00Z,Portugal,Croatia,Round32,0
85,2026-07-03T03:00:00Z,Switzerland,Algeria,Round32,0
88,2026-07-03T18:00:00Z,Australia,Egypt,Round32,0
86,2026-07-03T22:00:00Z,Argentina,Cape Verde,Round32,0
87,2026-07-04T01:30:00Z,Colombia,Ghana,Round32,0
90,2026-07-04T17:00:00Z,Canada,Morocco,Round16,1
89,2026-07-04T21:00:00Z,Paraguay,France,Round16,0
91,2026-07-05T20:00:00Z,Brazil,Norway,Round16,0
