Country,Rank,Points,PreviousRank,PreviousPoints,CountryCode
France,1,1916.240370,3,1870.696162,FRA
Argentina,2,1907.404654,1,1877.266571,ARG
Spain,3,1892.282701,2,1874.710778,ESP
England,4,1850.970079,4,1828.021903,ENG
Brazil,5,1804.923169,6,1765.856297,BRA
Morocco,6,1788.855455,7,1755.100232,MAR
Portugal,7,1787.854725,5,1767.849031,POR
Netherlands,8,1775.542240,8,1753.571899,NED
Belgium,9,1756.513102,9,1742.235945,BEL
Mexico,10,1754.296853,14,1687.481759,MEX
Colombia,11,1729.300716,13,1698.351858,COL
Germany,12,1726.218839,10,1735.771984,GER
Croatia,13,1723.050142,11,1714.865572,CRO
USA,15,1690.330436,17,1671.234100,USA
Switzerland,16,1676.000193,19,1650.064179,SUI
Japan,17,1673.676530,18,1661.576187,JPN
Senegal,18,1653.428590,15,1684.069879,SEN
Uruguay,19,1634.703834,16,1673.068603,URU
Norway,21,1617.671898,31,1557.437664,NOR
Iran,22,1609.845145,20,1619.581630,IRN
Austria,23,1598.822839,24,1597.404087,AUT
Ecuador,24,1592.588692,23,1598.515820,ECU
Egypt,26,1584.705377,29,1562.367246,EGY
Turkey,27,1582.544730,22,1605.730921,TUR
Australia,28,1581.348155,27,1579.342640,AUS
Algeria,29,1576.802787,28,1571.033293,ALG
Canada,30,1571.341370,30,1559.479301,CAN
Ivory Coast,31,1565.474493,33,1540.869533,CIV
South Korea,32,1558.719499,25,1591.630886,KOR
Paraguay,34,1542.476023,41,1505.349689,PAR
Sweden,37,1525.578992,38,1509.785392,SWE
DR Congo,41,1495.476517,46,1474.427761,COD
Scotland,42,1491.223887,42,1503.340270,SCO
Panama,44,1478.411496,34,1539.155509,PAN
Czechia,48,1467.260216,40,1505.737856,CZE
South Africa,54,1451.241881,60,1428.379282,RSA
Tunisia,57,1426.583954,45,1476.405088,TUN
Saudi Arabia,58,1425.515277,61,1423.881229,KSA
Qatar,59,1411.063729,56,1450.307729,QAT
Uzbekistan,60,1409.729608,50,1458.734068,UZB
Bosnia and Herzegovina,61,1408.930486,64,1387.215771,BIH
Iraq,63,1404.172801,57,1446.279605,IRQ
Cape Verde,64,1402.966144,67,1371.107980,CPV
Ghana,65,1387.000731,73,1346.881205,GHA
Jordan,73,1350.411893,63,1387.738222,JOR
Curaçao,82,1285.644403,82,1294.769090,CUW
New Zealand,86,1269.801509,85,1275.581062,NZL
Haiti,88,1264.578423,83,1293.096585,HAI
